# BUSCO version is: 5.4.2 
# The lineage dataset is: nematoda_odb10 (Creation date: 2020-08-05, number of genomes: 7, number of BUSCOs: 3131)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
0at6231	Complete	scaffold_1	28308768	28333624	+	9199.7	5600
4at6231	Complete	scaffold_1	18240641	18270151	+	7069.8	3918	https://www.orthodb.org/v10?query=4at6231	Dynein heavy chain, cytoplasmic
6at6231	Complete	scaffold_1	71777028	71794339	-	5222.5	3560
7at6231	Complete	scaffold_1	33068036	33111182	-	4506.1	3054
9at6231	Complete	scaffold_1	58695305	58728743	-	3254.5	3538
18at6231	Complete	scaffold_1	54979293	55000924	+	3347.5	2547	https://www.orthodb.org/v10?query=18at6231	Vacuolar protein sorting-associated protein 13
19at6231	Complete	scaffold_1	48329580	48339202	+	2788.3	1990	https://www.orthodb.org/v10?query=19at6231	putative scavenger receptor cysteine-rich domain protein
20at6231	Complete	scaffold_1	18521512	18545522	-	2579.9	3217
21at6231	Complete	scaffold_1	50387464	50408573	+	3907.5	2618
22at6231	Complete	scaffold_1	9776276	9796614	+	2125.4	1536
23at6231	Complete	scaffold_1	61128064	61153390	+	5692.8	3741
25at6231	Complete	scaffold_1	5498444	5513522	+	2210.3	1542
28at6231	Complete	scaffold_1	26347155	26360595	-	4704.7	2094
29at6231	Complete	scaffold_1	64659188	64670566	+	1264.2	1171
31at6231	Complete	scaffold_1	72068260	72081412	-	1549.2	2282
32at6231	Complete	scaffold_1	81747939	81761693	+	3938.4	2170
35at6231	Complete	scaffold_1	48617037	48628414	+	3664.0	1949
39at6231	Complete	scaffold_1	78311018	78321077	+	2260.5	1522
40at6231	Complete	scaffold_1	66501972	66516636	-	1628.3	2019
43at6231	Complete	scaffold_1	42633827	42649590	-	2975.0	1861	https://www.orthodb.org/v10?query=43at6231	CRE-RME-8 protein
45at6231	Missing
48at6231	Complete	scaffold_1	39891858	39902786	-	1220.3	1141
49at6231	Duplicated	scaffold_1	46019237	46028250	+	505.8	737
49at6231	Duplicated	scaffold_1	46013546	46019078	+	482.1	539
55at6231	Complete	scaffold_1	48165152	48177858	-	2334.9	1575
57at6231	Complete	scaffold_1	8674754	8696928	-	1063.3	1383
60at6231	Complete	scaffold_1	30113479	30136792	-	1773.9	1469
63at6231	Complete	scaffold_1	64589188	64601968	+	3743.0	2597
65at6231	Complete	scaffold_1	74821367	74833394	+	1592.9	1532
67at6231	Complete	scaffold_1	47540229	47561229	-	3358.5	1838
68at6231	Complete	scaffold_1	40411635	40427512	+	1941.8	1469	https://www.orthodb.org/v10?query=68at6231	Hypothetical protein CBG04027
