scaffold_position	fraction_GC
50000	0.35168
150000	0.3605
250000	0.37054
350000	0.35803
450000	0.36057
550000	0.35997
650000	0.39422
750000	0.39539
850000	0.3838
950000	0.3639
1050000	0.38402
1150000	0.38951
1250000	0.3954
1350000	0.40806
1450000	0.37327
1550000	0.38997
1650000	0.37416
1750000	0.4094
1850000	0.38494
1950000	0.38856
2050000	0.37213
2150000	0.39115230460921846
2250000	0.36879
2350000	0.38428
2450000	0.37741
2550000	0.37081
2650000	0.35467
2750000	0.35268
2850000	0.35419
2950000	0.34798
3050000	0.33827
3150000	0.36864
3250000	0.35986
3350000	0.3736
3450000	0.37333
3550000	0.35803
3650000	0.3614
3750000	0.36412
3850000	0.3573
3950000	0.36738
4050000	0.36451
4150000	0.36647
4250000	0.37085
4350000	0.35721
4450000	0.37162
4550000	0.36687
4650000	0.36186
4750000	0.35634
4850000	0.35681
4950000	0.36948
5050000	0.3597
5150000	0.36429
5250000	0.37012
5350000	0.36112
5450000	0.3723
5550000	0.36539
5650000	0.35343
5750000	0.35778
5850000	0.36036
5950000	0.35978
6050000	0.35538
6150000	0.36873
6250000	0.36916
6350000	0.3736
6450000	0.36596
6550000	0.3664
6650000	0.4151
6750000	0.39158
6850000	0.36279
6950000	0.36079
7050000	0.37922
7150000	0.37445
7250000	0.37384
7350000	0.37735
7450000	0.39173
7550000	0.37332
7650000	0.3811
7750000	0.38893
7850000	0.36465
7950000	0.35675
8050000	0.3368937875751503
8150000	0.36002
8250000	0.36384
8350000	0.36329
8450000	0.37723
8550000	0.36486
8650000	0.38588
8750000	0.39107
8850000	0.38822
8950000	0.39021
9050000	0.3793
9150000	0.37521
9250000	0.37333
9350000	0.37493
9450000	0.37471
9550000	0.39128
9650000	0.38105
9750000	0.37326
9850000	0.36249
9950000	0.35818
10050000	0.37376
10150000	0.35999
10250000	0.3601
10350000	0.35186
10450000	0.36293
10550000	0.35276
10650000	0.36637
10750000	0.36083
10850000	0.36786
10950000	0.36129
11050000	0.37687
11150000	0.38288
11250000	0.39693
11350000	0.36907
11450000	0.3631
11550000	0.36188
11650000	0.35347
11750000	0.37083
11850000	0.35539
11950000	0.36369
12050000	0.35816
12150000	0.39269
12250000	0.39659
12350000	0.43173
12450000	0.39506
12550000	0.42852
12650000	0.39284
12750000	0.37624
12850000	0.3603
12950000	0.36593
13050000	0.35172
13150000	0.3576
13250000	0.36283
13350000	0.35552
13450000	0.36414
13550000	0.34738
13650000	0.3497
13750000	0.36726
13850000	0.34422
13950000	0.35603
14050000	0.3533
14150000	0.34362
14250000	0.36743
14350000	0.32884
14450000	0.35426
14550000	0.36671
14650000	0.35123
14750000	0.34504
14850000	0.34287
14950000	0.35711
15050000	0.34967
15150000	0.36439
15250000	0.37677
15350000	0.35576
15450000	0.36102
15550000	0.37149
15650000	0.35228
15750000	0.36084168336673345
15850000	0.37048
15950000	0.36617
16050000	0.36606
16150000	0.3874
16250000	0.37362
16350000	0.3816
16450000	0.37849
16550000	0.37007
16650000	0.36255
16750000	0.37487
16850000	0.38206
16950000	0.3678
17050000	0.40657
17150000	0.37038
17250000	0.38682
17350000	0.3791
17450000	0.39133
17550000	0.37586
17650000	0.38221
17750000	0.36599
17850000	0.3797
17950000	0.37914
18050000	0.36668
18150000	0.37709
18250000	0.36302
18350000	0.37522
18450000	0.37079
18550000	0.3757
18650000	0.3745
18750000	0.37148
18850000	0.3686
18950000	0.3656513026052104
19050000	0.36309
19150000	0.37989
19250000	0.38469
19350000	0.3793
19450000	0.37
19550000	0.3675
19650000	0.37777
19750000	0.37935
19850000	0.38688
19950000	0.3818
20050000	0.38208
20150000	0.37847
20250000	0.37491
20350000	0.37526
20450000	0.37499
20550000	0.37387
20650000	0.37585
20750000	0.37754
20850000	0.38735
20950000	0.37356
21050000	0.37766
21150000	0.37922
21250000	0.38413
21350000	0.38559
21450000	0.37995
21550000	0.38755
21650000	0.36594
21750000	0.38964
21850000	0.38531
21950000	0.37134
22050000	0.38983
22150000	0.37661
22250000	0.37531
22350000	0.37408
22450000	0.37738
22550000	0.36293
22650000	0.37389
22750000	0.35575
22850000	0.37649
22950000	0.38321
23050000	0.36889
23150000	0.36468
23250000	0.37974
23350000	0.37327
23450000	0.37355
23550000	0.36309
23650000	0.36084
23750000	0.35862
23850000	0.36418
23950000	0.3617
24050000	0.36232
24150000	0.36267
24250000	0.36937
24350000	0.36337
24450000	0.37251
24550000	0.36294
24650000	0.37792
24750000	0.35721
24850000	0.3576
24950000	0.36648
25050000	0.3835
25150000	0.36599
25250000	0.36507
25350000	0.37028
25450000	0.3406
25550000	0.37009
25650000	0.36648
25750000	0.37442
25850000	0.35708
25950000	0.35426
26050000	0.36399
26150000	0.34684
26250000	0.35533
26350000	0.36485
26450000	0.36478
26550000	0.35764
26650000	0.36761
26750000	0.39189
26850000	0.39491
26950000	0.41691
27050000	0.403
27150000	0.42726
27250000	0.41091
27350000	0.40372
27450000	0.37494
27550000	0.36253
27650000	0.39138
27750000	0.35379
27850000	0.37998
27950000	0.37592
28050000	0.38624
28150000	0.37258
28250000	0.37138
28350000	0.40455
28450000	0.37235
28550000	0.36413
28650000	0.36156
28750000	0.36533
28850000	0.35076
28950000	0.35977
29050000	0.38021
29150000	0.35244
29250000	0.3658
29350000	0.34145
29450000	0.3595
29550000	0.35443
29650000	0.36174
29750000	0.36746
29850000	0.36189
29950000	0.36738
30050000	0.37238
30150000	0.35592
30250000	0.35874
30350000	0.37257
30450000	0.34977
30550000	0.36476
30650000	0.35781
30750000	0.34757
30850000	0.34732
30950000	0.3879
31050000	0.35745
31150000	0.37459
31250000	0.36092
31350000	0.3765
31450000	0.36538
31550000	0.36469
31650000	0.37175
31750000	0.38146
31850000	0.37381
31950000	0.39238
32050000	0.36854
32150000	0.38143
32250000	0.39391
32350000	0.36302
32450000	0.37145
32550000	0.38954
32650000	0.37133
32750000	0.37002
32850000	0.34019
32950000	0.36399
33050000	0.39979
33150000	0.39638
33250000	0.37804
33350000	0.37769
33450000	0.36243
33550000	0.36541
33650000	0.35351
33750000	0.35666
33850000	0.37325
33950000	0.37062
34050000	0.37658
34150000	0.37622
34250000	0.38318
34350000	0.39074
34450000	0.38974
34550000	0.3823
34650000	0.37505
34750000	0.38901
34850000	0.38459
34950000	0.36409
35050000	0.35474
35150000	0.41177
35250000	0.38382
35350000	0.37067
35450000	0.3592
35550000	0.38037
35650000	0.3519
35750000	0.36806
35850000	0.37174
35950000	0.36141
36050000	0.36962
36150000	0.37511
36250000	0.38212
36350000	0.37317
36450000	0.37592
36550000	0.38638
36650000	0.38408
