scaffold_position	fraction_exonic
50000	0.20281
150000	0.20045
250000	0.24954
350000	0.21288
450000	0.21403
550000	0.19634
650000	0.28081
750000	0.32195
850000	0.24112
950000	0.15257
1050000	0.22222
1150000	0.26793
1250000	0.31029
1350000	0.30875
1450000	0.26248
1550000	0.32254
1650000	0.27293
1750000	0.2446
1850000	0.26843
1950000	0.26565
2050000	0.24204
2150000	0.12183366733466934
2250000	0.25578
2350000	0.27355
2450000	0.23541
2550000	0.20465
2650000	0.0895
2750000	0.16725
2850000	0.17505
2950000	0.15048
3050000	0.1575
3150000	0.11004
3250000	0.1945
3350000	0.11537
3450000	0.18118
3550000	0.17063
3650000	0.23373
3750000	0.15637
3850000	0.20053
3950000	0.19984
4050000	0.2351
4150000	0.206
4250000	0.30853
4350000	0.22965
4450000	0.23841
4550000	0.21677
4650000	0.21457
4750000	0.213
4850000	0.14536
4950000	0.13724
5050000	0.18867
5150000	0.25164
5250000	0.19969
5350000	0.19673
5450000	0.23496
5550000	0.17949
5650000	0.11199
5750000	0.2115
5850000	0.17001
5950000	0.2229
6050000	0.18714
6150000	0.17637
6250000	0.24228
6350000	0.20343
6450000	0.22523
6550000	0.20522
6650000	0.07517
6750000	0.10428
6850000	0.3027
6950000	0.20049
7050000	0.20349
7150000	0.21607
7250000	0.25265
7350000	0.27126
7450000	0.28196
7550000	0.28506
7650000	0.27539
7750000	0.24501
7850000	0.20865
7950000	0.1626
8050000	0.15333667334669338
8150000	0.2463
8250000	0.23508
8350000	0.2001
8450000	0.25745
8550000	0.15391
8650000	0.24916
8750000	0.34587
8850000	0.32156
8950000	0.19206
9050000	0.21096
9150000	0.2089
9250000	0.15638
9350000	0.195
9450000	0.24774
9550000	0.36078
9650000	0.27207
9750000	0.29237
9850000	0.2245
9950000	0.2213
10050000	0.1768
10150000	0.22224
10250000	0.17147
10350000	0.23689
10450000	0.28989
10550000	0.10521
10650000	0.18098
10750000	0.22035
10850000	0.24987
10950000	0.25395
11050000	0.15288
11150000	0.24845
11250000	0.45062
11350000	0.24269
11450000	0.20855
11550000	0.26475
11650000	0.26366
11750000	0.22415
11850000	0.27972
11950000	0.33387
12050000	0.34295
12150000	0.38985
12250000	0.30888
12350000	0.37667
12450000	0.28409
12550000	0.39584
12650000	0.40598
12750000	0.35561
12850000	0.2871
12950000	0.32373
13050000	0.27969
13150000	0.26371
13250000	0.19478
13350000	0.26271
13450000	0.27336
13550000	0.24429
13650000	0.24915
13750000	0.23055
13850000	0.13602
13950000	0.17112
14050000	0.21789
14150000	0.10477
14250000	0.21011
14350000	0.10881
14450000	0.25071
14550000	0.31314
14650000	0.17418
14750000	0.25275
14850000	0.2369
14950000	0.14658
15050000	0.21454
15150000	0.15206
15250000	0.32611
15350000	0.23409
15450000	0.26425
15550000	0.20727
15650000	0.15135
15750000	0.2145691382765531
15850000	0.18697
15950000	0.27053
16050000	0.2229
16150000	0.29955
16250000	0.29086
16350000	0.25546
16450000	0.18007
16550000	0.18472
16650000	0.21789
16750000	0.28158
16850000	0.31203
16950000	0.18447
