scaffold_position	fraction_GC
50000	0.35233
150000	0.35533
250000	0.36405
350000	0.36455911823647297
450000	0.35655
550000	0.36045
650000	0.36631
750000	0.39115
850000	0.38327
950000	0.38129
1050000	0.35883
1150000	0.39098
1250000	0.38492
1350000	0.39308
1450000	0.40342
1550000	0.38415
1650000	0.38188
1750000	0.36845
1850000	0.41032
1950000	0.40873
2050000	0.34718
2150000	0.46018036072144286
2250000	0.42618
2350000	0.34771
2450000	0.38326
2550000	0.37929
2650000	0.36703
2750000	0.37527
2850000	0.36138
2950000	0.34808
3050000	0.35186
3150000	0.35359
3250000	0.34599
3350000	0.35978
3450000	0.35478
3550000	0.37633
3650000	0.37034
3750000	0.36112
3850000	0.35832
3950000	0.36389
4050000	0.35898
4150000	0.36291
4250000	0.3621
4350000	0.36386
4450000	0.38547
4550000	0.37145
4650000	0.36268
4750000	0.35644
4850000	0.3687
4950000	0.35832
5050000	0.36079
5150000	0.35474
5250000	0.3783
5350000	0.36554
5450000	0.36333
5550000	0.36453
5650000	0.37053
5750000	0.35665
5850000	0.37034
5950000	0.36715
6050000	0.35123
6150000	0.35614
6250000	0.34877
6350000	0.35603
6450000	0.35967
6550000	0.36829
6650000	0.36556
6750000	0.36806
6850000	0.36359
6950000	0.36188
7050000	0.44057
7150000	0.38037
7250000	0.36606
7350000	0.35856
7450000	0.37979
7550000	0.37103
7650000	0.3635
7750000	0.38224
7850000	0.3808
7950000	0.37689
8050000	0.36773
8150000	0.3794
8250000	0.37536
8350000	0.36517
8450000	0.34004
8550000	0.36136
8650000	0.36356
8750000	0.3593
8850000	0.37671
8950000	0.36934
9050000	0.3815
9150000	0.3791
9250000	0.39412
9350000	0.38699
9450000	0.37849
9550000	0.37017
9650000	0.3671
9750000	0.36512
9850000	0.37002
9950000	0.38307
10050000	0.38134
10150000	0.37794
10250000	0.37039
10350000	0.35652
10450000	0.35667
10550000	0.36209
10650000	0.36446
10750000	0.36286
10850000	0.35365
10950000	0.36324
11050000	0.34652
11150000	0.36562
11250000	0.36179
11350000	0.36686
11450000	0.3614
11550000	0.37854
11650000	0.35456
11750000	0.37251
11850000	0.41163
11950000	0.36759
12050000	0.36056
12150000	0.35778
12250000	0.35455
12350000	0.36871
12450000	0.3547
12550000	0.36805
12650000	0.38121
12750000	0.38358
12850000	0.42204
12950000	0.3983
13050000	0.40374
13150000	0.42381
13250000	0.38717
13350000	0.36239
13450000	0.3582
13550000	0.3688
13650000	0.34314
13750000	0.35392
13850000	0.35945
13950000	0.35705
14050000	0.36021
14150000	0.34334
14250000	0.34807
14350000	0.36091
14450000	0.35139
14550000	0.35181
14650000	0.34797
14750000	0.34385
14850000	0.36212
14950000	0.32857
15050000	0.35405
15150000	0.35089
15250000	0.35726
15350000	0.34604
15450000	0.35158
15550000	0.35833
15650000	0.34521
15750000	0.36847
15850000	0.35989
15950000	0.36996
16050000	0.35635
16150000	0.35961
16250000	0.37185
16350000	0.34301
16450000	0.36207
16550000	0.36651
16650000	0.37078
16750000	0.36897
16850000	0.38152
16950000	0.37874
17050000	0.37751
17150000	0.38267
17250000	0.36572
17350000	0.35856
17450000	0.37829
17550000	0.38578
17650000	0.37191
17750000	0.39877
17850000	0.37332
