scaffold_position	Unspecified	Simple_repeat	sum
50000	0.34146	0.00565	0.34711
150000	0.20298	0.00688	0.20986
250000	0.2728	0.00399	0.27679
350000	0.21612	0.01061	0.22673
450000	0.18244	0.00592	0.18836
550000	0.40335	0.00639	0.40974
650000	0.1415	0.00612	0.14762
750000	0.11325	0.0068	0.12005
850000	0.10519	0.00445	0.10964
950000	0.12369	0.00417	0.12786
1050000	0.10361	0.01418	0.11779
1150000	0.11572	0.00798	0.1237
1250000	0.1623	0.008	0.1703
1350000	0.10102	0.0099	0.11092
1450000	0.18745	0.00735	0.1948
1550000	0.14949	0.01002	0.15951
1650000	0.18967	0.00708	0.19675
1750000	0.13003	0.01526	0.14529
1850000	0.20496	0.01464	0.2196
1950000	0.15567	0.0092	0.16487
2050000	0.28409	0.00747	0.29156
2150000	0.34702404809619236	0.006993987975951904	0.35401803607214427
2250000	0.08665	0.0057	0.09235
2350000	0.14385	0.00567	0.14952
2450000	0.14592	0.00593	0.15185
2550000	0.12134	0.014	0.13534
2650000	0.0394	0.00701	0.04641
2750000	0.12188	0.00979	0.13167
2850000	0.13816	0.00735	0.14551
2950000	0.12881	0.00493	0.13374
3050000	0.19984	0.00507	0.20491
3150000	0.08804	0.00722	0.09526
3250000	0.15326	0.00382	0.15708
3350000	0.14763	0.00806	0.15569
3450000	0.27258	0.00337	0.27595
3550000	0.09208	0.00766	0.09974
3650000	0.15562	0.00732	0.16294
3750000	0.09781	0.00512	0.10293
3850000	0.11108	0.00591	0.11699
3950000	0.16008	0.00569	0.16577
4050000	0.09478	0.0082	0.10298
4150000	0.09877	0.00648	0.10525
4250000	0.15096	0.00356	0.15452
4350000	0.11147	0.00775	0.11922
4450000	0.05699	0.01327	0.07026
4550000	0.08822	0.00835	0.09657
4650000	0.04914	0.00943	0.05857
4750000	0.08289	0.00848	0.09137
4850000	0.06737	0.00622	0.07359
4950000	0.04587	0.01335	0.05922
5050000	0.1648	0.00709	0.17189
5150000	0.20407	0.00747	0.21154
5250000	0.036	0.01437	0.05037
5350000	0.07637	0.01001	0.08638
5450000	0.0276	0.01281	0.04041
5550000	0.31512	0.01001	0.32513
5650000	0.37657	0.00486	0.38143
5750000	0.32267	0.00653	0.3292
5850000	0.13618	0.00327	0.13945
5950000	0.30545	0.00564	0.31109
6050000	0.19365	0.00482	0.19847
6150000	0.05048	0.0146	0.06508
6250000	0.08788	0.00802	0.0959
6350000	0.0589	0.00976	0.06866
6450000	0.09789	0.00554	0.10343
6550000	0.16535	0.00983	0.17518
6650000	0.83215	0.00086	0.83301
6750000	0.58602	0.00393	0.58995
6850000	0.06645	0.0047	0.07115
6950000	0.09852	0.00441	0.10293
7050000	0.14052	0.01167	0.15219
7150000	0.05138	0.00978	0.06116
7250000	0.07624	0.01271	0.08895
7350000	0.09794	0.00694	0.10488
7450000	0.05832	0.01258	0.0709
7550000	0.10777	0.0117	0.11947
7650000	0.12906	0.01382	0.14288
7750000	0.05578	0.01347	0.06925
7850000	0.14204	0.00846	0.1505
7950000	0.16396	0.00463	0.16859
8050000	0.3269539078156313	0.006492985971943888	0.33344689378757514
8150000	0.12185	0.00744	0.12929
8250000	0.09779	0.00938	0.10717
8350000	0.07924	0.00692	0.08616
8450000	0.05709	0.0115	0.06859
8550000	0.18068	0.00943	0.19011
8650000	0.12348	0.00969	0.13317
8750000	0.14689	0.0086	0.15549
8850000	0.2236	0.01009	0.23369
8950000	0.10143	0.01842	0.11985
9050000	0.11161	0.00755	0.11916
9150000	0.24192	0.00743	0.24935
9250000	0.15088	0.00992	0.1608
9350000	0.11448	0.01214	0.12662
9450000	0.10276	0.00577	0.10853
9550000	0.27711	0.00703	0.28414
9650000	0.04248	0.00484	0.04732
9750000	0.12325	0.00712	0.13037
9850000	0.08776	0.01112	0.09888
9950000	0.07618	0.00878	0.08496
10050000	0.07285	0.00752	0.08037
10150000	0.15988	0.00438	0.16426
10250000	0.20489	0.00699	0.21188
10350000	0.22756	0.00754	0.2351
10450000	0.02762	0.0059	0.03352
10550000	0.05371	0.01313	0.06684
10650000	0.11324	0.00492	0.11816
10750000	0.06873	0.01129	0.08002
10850000	0.06215	0.01321	0.07536
10950000	0.19525	0.0086	0.20385
11050000	0.02288	0.01008	0.03296
11150000	0.15685	0.01237	0.16922
11250000	0.03404	0.00709	0.04113
11350000	0.10809	0.01542	0.12351
11450000	0.03022	0.01385	0.04407
11550000	0.28218	0.00804	0.29022
11650000	0.09278	0.01393	0.10671
11750000	0.09467	0.01419	0.10886
11850000	0.06112	0.01783	0.07895
11950000	0.24485	0.0141	0.25895
12050000	0.07285	0.01105	0.0839
12150000	0.1014	0.0094	0.1108
12250000	0.15125	0.01028	0.16153
12350000	0.1775	0.01476	0.19226
12450000	0.36498	0.00942	0.3744
12550000	0.1171	0.0146	0.1317
12650000	0.04071	0.01357	0.05428
12750000	0.06398	0.00779	0.07177
12850000	0.07012	0.01511	0.08523
12950000	0.13165	0.01254	0.14419
13050000	0.07464	0.01914	0.09378
13150000	0.14685	0.01438	0.16123
13250000	0.07056	0.01401	0.08457
13350000	0.06789	0.01381	0.0817
13450000	0.06594	0.01121	0.07715
13550000	0.04855	0.00816	0.05671
13650000	0.07909	0.01061	0.0897
13750000	0.27344	0.00415	0.27759
13850000	0.10169	0.00974	0.11143
13950000	0.28368	0.00733	0.29101
14050000	0.08826	0.00737	0.09563
14150000	0.03647	0.01288	0.04935
14250000	0.07797	0.00646	0.08443
14350000	0.03882	0.01122	0.05004
14450000	0.04753	0.007	0.05453
14550000	0.1012	0.006	0.1072
14650000	0.12937	0.00375	0.13312
14750000	0.0395	0.00577	0.04527
14850000	0.04653	0.00455	0.05108
14950000	0.16116	0.00964	0.1708
15050000	0.03605	0.00515	0.0412
15150000	0.05506	0.00305	0.05811
15250000	0.06587	0.0098	0.07567
15350000	0.13434	0.00405	0.13839
15450000	0.11774	0.00434	0.12208
15550000	0.04405	0.01046	0.05451
15650000	0.11474	0.00488	0.11962
15750000	0.24107214428857715	0.005180360721442886	0.24625250501002005
15850000	0.28317	0.00526	0.28843
15950000	0.07809	0.00738	0.08547
16050000	0.12665	0.01059	0.13724
16150000	0.13685	0.01002	0.14687
16250000	0.23778	0.00906	0.24684
16350000	0.1607	0.0088	0.1695
16450000	0.18099	0.00916	0.19015
16550000	0.10314	0.0152	0.11834
16650000	0.15992	0.01255	0.17247
16750000	0.12047	0.01263	0.1331
16850000	0.3145	0.0083	0.3228
16950000	0.18767	0.01201	0.19968
17050000	0.31874	0.00725	0.32599
17150000	0.18821	0.01125	0.19946
17250000	0.08603	0.01399	0.10002
17350000	0.18936	0.0145	0.20386
17450000	0.10064	0.0169	0.11754
17550000	0.12606	0.01368	0.13974
17650000	0.19588	0.00923	0.20511
17750000	0.17019	0.00732	0.17751
17850000	0.336	0.00781	0.34381
17950000	0.22673	0.00994	0.23667
18050000	0.28812	0.01212	0.30024
18150000	0.29449	0.00765	0.30214
18250000	0.3423	0.01072	0.35302
18350000	0.22953	0.0128	0.24233
18450000	0.08586	0.01218	0.09804
18550000	0.19623	0.00964	0.20587
18650000	0.17212	0.00535	0.17747
18750000	0.21399	0.00696	0.22095
18850000	0.47659	0.0046	0.48119
18950000	0.16590180360721443	0.007254509018036072	0.1731563126252505
19050000	0.17889	0.00907	0.18796
19150000	0.13356	0.011	0.14456
19250000	0.25259	0.00959	0.26218
19350000	0.13815	0.01461	0.15276
19450000	0.11667	0.01245	0.12912
19550000	0.19025	0.00965	0.1999
19650000	0.10498	0.01195	0.11693
19750000	0.16122	0.01711	0.17833
19850000	0.18349	0.01245	0.19594
19950000	0.27023	0.01491	0.28514
20050000	0.14664	0.00719	0.15383
20150000	0.21893	0.01452	0.23345
20250000	0.3029	0.00856	0.31146
20350000	0.19525	0.01155	0.2068
20450000	0.17826	0.00992	0.18818
20550000	0.28839	0.0124	0.30079
20650000	0.24939	0.00789	0.25728
20750000	0.22867	0.01328	0.24195
20850000	0.20866	0.00749	0.21615
20950000	0.21352	0.0112	0.22472
21050000	0.14693	0.01152	0.15845
21150000	0.18241	0.01509	0.1975
