scaffold_position	fraction_exonic
50000	0.10642
150000	0.20697
250000	0.20318
350000	0.21309619238476954
450000	0.19796
550000	0.23915
650000	0.23477
750000	0.31467
850000	0.23314
950000	0.23323
1050000	0.15005
1150000	0.25729
1250000	0.23601
1350000	0.35308
1450000	0.26874
1550000	0.23861
1650000	0.3169
1750000	0.23368
1850000	0.27117
1950000	0.2926
2050000	0.18755
2150000	0.009739478957915831
2250000	0.06098
2350000	0.23209
2450000	0.26257
2550000	0.19478
2650000	0.22723
2750000	0.25974
2850000	0.11429
2950000	0.17793
3050000	0.22476
3150000	0.16593
3250000	0.15099
3350000	0.1608
3450000	0.1406
3550000	0.19365
3650000	0.16545
3750000	0.17817
3850000	0.21837
3950000	0.1608
4050000	0.20454
4150000	0.20033
4250000	0.22488
4350000	0.19426
4450000	0.36592
4550000	0.26857
4650000	0.30088
4750000	0.26744
4850000	0.23886
4950000	0.17511
5050000	0.22653
5150000	0.21529
5250000	0.2129
5350000	0.18801
5450000	0.1774
5550000	0.22412
5650000	0.2323
5750000	0.1941
5850000	0.20439
5950000	0.17445
6050000	0.18078
6150000	0.16424
6250000	0.20381
6350000	0.11526
6450000	0.21036
6550000	0.21175
6650000	0.25629
6750000	0.17059
6850000	0.24489
6950000	0.21625
7050000	0.03903
7150000	0.11067
7250000	0.25464
7350000	0.21714
7450000	0.18364
7550000	0.21788
7650000	0.25311
7750000	0.26117
7850000	0.26716
7950000	0.27637
8050000	0.25835
8150000	0.27747
8250000	0.19629
8350000	0.18091
8450000	0.26181
8550000	0.27583
8650000	0.23937
8750000	0.20366
8850000	0.24727
8950000	0.22503
9050000	0.21771
9150000	0.3089
9250000	0.37948
9350000	0.18695
9450000	0.19888
9550000	0.25844
9650000	0.18818
9750000	0.23937
9850000	0.19554
9950000	0.26285
10050000	0.37845
10150000	0.24468
10250000	0.29489
10350000	0.19365
10450000	0.20159
10550000	0.17784
10650000	0.2079
10750000	0.21353
10850000	0.20781
10950000	0.27165
11050000	0.10935
11150000	0.20154
11250000	0.18415
11350000	0.21319
11450000	0.26774
11550000	0.21639
11650000	0.19254
11750000	0.26719
11850000	0.56168
11950000	0.23
12050000	0.20159
12150000	0.2858
12250000	0.23359
12350000	0.24616
12450000	0.29459
12550000	0.34312
12650000	0.3769
12750000	0.33798
12850000	0.35823
12950000	0.31649
13050000	0.2911
13150000	0.40319
13250000	0.38424
13350000	0.32745
13450000	0.3069
13550000	0.29755
13650000	0.25769
13750000	0.27085
13850000	0.20714
13950000	0.24334
14050000	0.27492
14150000	0.2529
14250000	0.18688
14350000	0.20825
14450000	0.14491
14550000	0.18095
14650000	0.18767
14750000	0.11406
14850000	0.18181
14950000	0.1233
15050000	0.25461
15150000	0.25959
15250000	0.26283
15350000	0.2322
15450000	0.19628
15550000	0.25164
15650000	0.17735
15750000	0.21823
15850000	0.17203
15950000	0.2789
16050000	0.24621
16150000	0.2397
16250000	0.20394
16350000	0.11014
16450000	0.30468
16550000	0.18453
16650000	0.20638
16750000	0.24393
16850000	0.29752
16950000	0.27736
17050000	0.23847
17150000	0.16491
17250000	0.22038
17350000	0.18768
17450000	0.29448
17550000	0.29339
17650000	0.22887
17750000	0.13231
17850000	0.23187
17950000	0.2612
18050000	0.24258
18150000	0.18433
18250000	0.25962
18350000	0.2292
18450000	0.21594
18550000	0.26856
18650000	0.26744
18750000	0.27202
18850000	0.21804
18950000	0.2595
19050000	0.19992
19150000	0.30754
19250000	0.20579
19350000	0.18983
19450000	0.2912
19550000	0.27817
19650000	0.21061
19750000	0.23995991983967935
19850000	0.24264
19950000	0.18607
20050000	0.20247
20150000	0.23437
20250000	0.27424
20350000	0.22229
20450000	0.31161
20550000	0.25536
20650000	0.25798
20750000	0.23534
20850000	0.17126
20950000	0.29707
21050000	0.22111
21150000	0.22948
21250000	0.19886
21350000	0.18806
21450000	0.2518
21550000	0.27662
21650000	0.23075
21750000	0.28256
21850000	0.31136
21950000	0.13638
22050000	0.28099
22150000	0.28498
22250000	0.16704
22350000	0.25743
22450000	0.19436
22550000	0.31893
22650000	0.22862
22750000	0.21087
22850000	0.23669
22950000	0.20702
23050000	0.25475
23150000	0.26286
23250000	0.21288
23350000	0.23139
23450000	0.10025
23550000	0.1646192384769539
23650000	0.19607
23750000	0.21783
23850000	0.1763
23950000	0.18754
24050000	0.19823
24150000	0.21398
24250000	0.28715
24350000	0.19961
24450000	0.26733
24550000	0.23224
24650000	0.12521
24750000	0.30946
24850000	0.23928
24950000	0.20144
25050000	0.20956
25150000	0.25844
25250000	0.26505
25350000	0.23454
25450000	0.21709
25550000	0.26957
25650000	0.27499
25750000	0.24631
25850000	0.28971
25950000	0.27107
26050000	0.30884
26150000	0.3126
26250000	0.26246
26350000	0.29846
26450000	0.2105
26550000	0.24438
26650000	0.28802
26750000	0.33003
26850000	0.34013
26950000	0.31144
27050000	0.26059
27150000	0.39425
27250000	0.37122
27350000	0.32824
27450000	0.3731
27550000	0.25133
27650000	0.31607
27750000	0.23559
27850000	0.27408
27950000	0.27349
28050000	0.26595
28150000	0.24969
28250000	0.23496
28350000	0.4221
28450000	0.258785140562249
28550000	0.30085
28650000	0.20002
28750000	0.18215
28850000	0.22936
28950000	0.23624
29050000	0.20726
29150000	0.24896
29250000	0.10894
29350000	0.25448
29450000	0.19605
29550000	0.14799
29650000	0.23394
29750000	0.18414
29850000	0.24549
29950000	0.25632
30050000	0.20568
30150000	0.19674
30250000	0.2599
30350000	0.18158
30450000	0.22041
30550000	0.19278
30650000	0.21941
30750000	0.30517
30850000	0.13449
30950000	0.21657
31050000	0.15156
31150000	0.15472
31250000	0.1731
31350000	0.2264
31450000	0.18185
31550000	0.15739
31650000	0.22765
31750000	0.22598
31850000	0.18019
31950000	0.35159
32050000	0.25096
32150000	0.20439
32250000	0.25953
32350000	0.24771
32450000	0.17737
32550000	0.1286
32650000	0.17838
32750000	0.25615
32850000	0.33701
32950000	0.29714
33050000	0.25756
33150000	0.20398
33250000	0.18225
33350000	0.18852
33450000	0.18618236472945893
33550000	0.2515
33650000	0.24933
33750000	0.20392
33850000	0.23116
33950000	0.26246
34050000	0.27062
34150000	0.27135
34250000	0.26955
34350000	0.26148
34450000	0.18799
34550000	0.24135
34650000	0.25472
34750000	0.30063
34850000	0.26205
34950000	0.25908
35050000	0.22166
