scaffold_position	fraction_Arima_RE
50000	0.02763
150000	0.02855
250000	0.03116
350000	0.02763
450000	0.03093
550000	0.03082
650000	0.03209
750000	0.02907
850000	0.03096
950000	0.02704
1050000	0.02808
1150000	0.02846
1250000	0.0364
1350000	0.02925
1450000	0.03516
1550000	0.03105
1650000	0.0353
1750000	0.02986
1850000	0.03389
1950000	0.037645290581162325
2050000	0.02942
2150000	0.03448
2250000	0.03104
2350000	0.03587
2450000	0.03066
2550000	0.02815
2650000	0.02909
2750000	0.02765
2850000	0.02788
2950000	0.03357
3050000	0.02957
3150000	0.02921
3250000	0.03178
3350000	0.03033
3450000	0.03237
3550000	0.03494
3650000	0.03153
3750000	0.0346
3850000	0.03286
3950000	0.03683
4050000	0.03343
4150000	0.03373
4250000	0.03433
4350000	0.03103
4450000	0.03579
4550000	0.03405
4650000	0.03251
4750000	0.03395
4850000	0.03217
4950000	0.03365
5050000	0.03673
5150000	0.03514
5250000	0.03452
5350000	0.03049
5450000	0.03228
5550000	0.02898
5650000	0.03429
5750000	0.03341
5850000	0.03288
5950000	0.03322
6050000	0.03229
6150000	0.03372
6250000	0.02788
6350000	0.02717
6450000	0.01709
6550000	0.0378
6650000	0.03037
6750000	0.03304
6850000	0.0344
6950000	0.03316
7050000	0.03509
7150000	0.03532
7250000	0.03588
7350000	0.03593
7450000	0.02897
7550000	0.03421
7650000	0.031462925851703405
7750000	0.03385
7850000	0.03212
7950000	0.03065
8050000	0.03319
8150000	0.03608
8250000	0.03391
8350000	0.03535
8450000	0.03483
8550000	0.03152
8650000	0.03288
8750000	0.03507
8850000	0.03352
8950000	0.03235
9050000	0.03072
9150000	0.03884
9250000	0.03364
9350000	0.0341
9450000	0.03203
9550000	0.03228
9650000	0.03483
9750000	0.03053
9850000	0.03088
9950000	0.03096
10050000	0.02744
10150000	0.02848
10250000	0.03064
10350000	0.02732
10450000	0.03098
10550000	0.03107
10650000	0.03406
10750000	0.04343687374749499
10850000	0.02739
10950000	0.02968
11050000	0.03072
11150000	0.0294
11250000	0.03014
11350000	0.02877
11450000	0.02803
11550000	0.02879
11650000	0.03317
11750000	0.03612
11850000	0.03369
11950000	0.03603
12050000	0.03409
12150000	0.03178
12250000	0.03048
12350000	0.02731
12450000	0.03097
12550000	0.02828
12650000	0.02977
12750000	0.02946
12850000	0.03078
12950000	0.02786
13050000	0.02734
13150000	0.03038
13250000	0.02801
13350000	0.03154
13450000	0.02902
13550000	0.03111
13650000	0.02933
13750000	0.03118
13850000	0.02985
13950000	0.03
14050000	0.0302
14150000	0.03116
14250000	0.02781
14350000	0.03091
14450000	0.03046
14550000	0.0326
14650000	0.03018
14750000	0.03418
14850000	0.03016
14950000	0.028897795591182364
15050000	0.0331
15150000	0.03213
15250000	0.03618
15350000	0.03892
15450000	0.030040080160320642
15550000	0.03476
15650000	0.03118
15750000	0.03265
15850000	0.03276
15950000	0.03305
16050000	0.03303
16150000	0.03248
16250000	0.0258
16350000	0.03281
16450000	0.0338
16550000	0.03383
16650000	0.03548
16750000	0.03616
16850000	0.03225
16950000	0.03388
17050000	0.03339
17150000	0.03449
17250000	0.03261
17350000	0.03246
17450000	0.03466
17550000	0.03181
17650000	0.0328
17750000	0.03258
17850000	0.03038076152304609
17950000	0.03186
18050000	0.03563
18150000	0.03682
18250000	0.03344
18350000	0.03154
18450000	0.03137
18550000	0.03227
18650000	0.03383
18750000	0.03666
18850000	0.03271
18950000	0.0345
19050000	0.03418
19150000	0.03479
19250000	0.029639278557114228
19350000	0.03178
19450000	0.03179
19550000	0.03189
19650000	0.03442
19750000	0.03272
19850000	0.03594
19950000	0.0341
20050000	0.03076
20150000	0.03172
20250000	0.03276
20350000	0.03236
20450000	0.03514
20550000	0.03358
20650000	0.03466
20750000	0.03278
20850000	0.03304
20950000	0.03472
21050000	0.03247
21150000	0.03315
21250000	0.03232
21350000	0.03459
21450000	0.03214
21550000	0.03303
21650000	0.03278
21750000	0.03228
21850000	0.03011
21950000	0.03304
22050000	0.03362
22150000	0.03006
22250000	0.02977
22350000	0.03165
22450000	0.02971
22550000	0.03048
22650000	0.0347
22750000	0.03188
22850000	0.03217
22950000	0.03413
23050000	0.0296
23150000	0.03552
23250000	0.03246
23350000	0.03018
23450000	0.0319
23550000	0.03346
23650000	0.03093
23750000	0.03042
23850000	0.03174
23950000	0.03153
24050000	0.03294
24150000	0.03061
24250000	0.03232
24350000	0.02961
24450000	0.02968
24550000	0.03081
24650000	0.02778
24750000	0.03134
24850000	0.02951
24950000	0.02915
25050000	0.03219438877755511
25150000	0.02989
25250000	0.03387
25350000	0.03554
25450000	0.03278
25550000	0.03536
25650000	0.03628
25750000	0.03285
25850000	0.02876
25950000	0.03019
26050000	0.03067
26150000	0.02817
26250000	0.03449
26350000	0.02806
26450000	0.03558
26550000	0.03068
26650000	0.03481
26750000	0.03248
26850000	0.03135
26950000	0.03441
27050000	0.03219
27150000	0.02835
27250000	0.03054
27350000	0.031162324649298596
27450000	0.02858
27550000	0.03225
27650000	0.02646
27750000	0.03031
27850000	0.03061
27950000	0.03123
28050000	0.03333
28150000	0.02904
28250000	0.03379
28350000	0.03006
28450000	0.02936
28550000	0.03283
28650000	0.03171
28750000	0.03520040080160321
28850000	0.03198
28950000	0.03166
29050000	0.03536
29150000	0.03391
29250000	0.03205
29350000	0.03568
29450000	0.03421
29550000	0.03332
29650000	0.03341
29750000	0.03062
29850000	0.03212
29950000	0.03214
30050000	0.03159
30150000	0.03466
30250000	0.03563
30350000	0.03149
30450000	0.02466
30550000	0.03021
30650000	0.03293
30750000	0.03123
30850000	0.02578
30950000	0.0291
31050000	0.0301
31150000	0.0361
31250000	0.03209
31350000	0.03217
31450000	0.03109
31550000	0.03
31650000	0.03129
31750000	0.02609
31850000	0.02898
31950000	0.03153
32050000	0.03353
32150000	0.03125
32250000	0.03295
32350000	0.03464
32450000	0.03252
32550000	0.03258
32650000	0.03125
32750000	0.03404
32850000	0.02779
32950000	0.02845
33050000	0.03167
33150000	0.02941
33250000	0.03248
33350000	0.03333
33450000	0.03311
33550000	0.02979
33650000	0.03074
33750000	0.03136
33850000	0.03126
33950000	0.03435
34050000	0.03397
34150000	0.03338
34250000	0.03376
34350000	0.03363
34450000	0.03545
34550000	0.03249
34650000	0.03422
34750000	0.03564
34850000	0.03418
34950000	0.03544
35050000	0.03508
35150000	0.03189
35250000	0.03553
35350000	0.030701402805611223
35450000	0.03394
35550000	0.03164
35650000	0.03244
35750000	0.03007
35850000	0.02639
35950000	0.02918
36050000	0.03072
36150000	0.03179
36250000	0.03195
36350000	0.03514
36450000	0.03454
36550000	0.03487
36650000	0.03162
36750000	0.03465
36850000	0.0306
36950000	0.0365
37050000	0.0377
37150000	0.03361
37250000	0.03412
37350000	0.03168
37450000	0.03192
37550000	0.04043
37650000	0.03251
37750000	0.03217
37850000	0.03092
37950000	0.0295
38050000	0.0289
38150000	0.03064
38250000	0.02845
38350000	0.02787
38450000	0.03105
38550000	0.02977
38650000	0.03184
38750000	0.03073
38850000	0.03141
38950000	0.02818
39050000	0.02924
39150000	0.031
39250000	0.03455
39350000	0.03321
39450000	0.02994
39550000	0.03404
39650000	0.03321
39750000	0.038
39850000	0.03518
39950000	0.03256
40050000	0.0364
40150000	0.03062
40250000	0.0331
40350000	0.03631
40450000	0.03272
40550000	0.03453
40650000	0.03455
40750000	0.03428
40850000	0.03544
40950000	0.03205
41050000	0.0374
41150000	0.03249
41250000	0.03808
41350000	0.03625
41450000	0.0339
41550000	0.03111
41650000	0.03118
41750000	0.0318
41850000	0.03746
41950000	0.03255
42050000	0.03248
42150000	0.03096
42250000	0.03262
42350000	0.03319
42450000	0.03336
42550000	0.03497
42650000	0.03359
42750000	0.0344
42850000	0.02982
42950000	0.0323
43050000	0.0335
43150000	0.03233
43250000	0.03127
43350000	0.03107
43450000	0.030851703406813626
43550000	0.03292
43650000	0.03121
43750000	0.03086
43850000	0.03092
43950000	0.03127
44050000	0.03282
44150000	0.03188
44250000	0.03329
44350000	0.02789
44450000	0.03049
44550000	0.02874
44650000	0.03158
44750000	0.03086
44850000	0.02871
44950000	0.02889
45050000	0.02866
45150000	0.03693
45250000	0.03096
45350000	0.02921
45450000	0.02972
45550000	0.03049
45650000	0.02979
45750000	0.03473
45850000	0.0334
45950000	0.03414
46050000	0.03641
46150000	0.03691
46250000	0.03355
46350000	0.03458
46450000	0.03378
46550000	0.02899
46650000	0.02826
46750000	0.03387
46850000	0.0279
46950000	0.02988
47050000	0.03177
47150000	0.02786
47250000	0.03103
47350000	0.0295
47450000	0.03351
47550000	0.02885
47650000	0.029468937875751503
47750000	0.03094
47850000	0.02905
47950000	0.02944
48050000	0.02772
48150000	0.03266
48250000	0.02879
48350000	0.02653
48450000	0.02975
48550000	0.03146
48650000	0.0332
48750000	0.03338
48850000	0.03014
48950000	0.03064
49050000	0.03648
49150000	0.03159
49250000	0.0322
49350000	0.03284
49450000	0.03043
49550000	0.03438877755511022
49650000	0.033
49750000	0.03294
49850000	0.03402
49950000	0.03289
50050000	0.03153
50150000	0.03056
50250000	0.03552
50350000	0.0323
50450000	0.03172
50550000	0.0333
50650000	0.034
50750000	0.03319
50850000	0.03442
50950000	0.03464
51050000	0.03518
51150000	0.03361
51250000	0.03641
51350000	0.03387
51450000	0.03268
51550000	0.03365
51650000	0.03289
51750000	0.03283
51850000	0.03274
51950000	0.03525
52050000	0.03296
52150000	0.03436
52250000	0.03432
52350000	0.03446
52450000	0.03505
52550000	0.03448
52650000	0.03311
52750000	0.03661
52850000	0.03048
52950000	0.03485
53050000	0.03605
53150000	0.03355
53250000	0.0319
53350000	0.0317
53450000	0.03283
53550000	0.03395
53650000	0.03151
53750000	0.03424
53850000	0.03556
53950000	0.03876
54050000	0.03301
54150000	0.03297
54250000	0.03278
54350000	0.03627
54450000	0.03474
54550000	0.0332
54650000	0.03353
54750000	0.03368
54850000	0.03167
54950000	0.03599
55050000	0.03415
55150000	0.03363
55250000	0.03405
55350000	0.02926
55450000	0.02992
55550000	0.03308
55650000	0.03097
55750000	0.03505
55850000	0.03167
55950000	0.03006
56050000	0.031653306613226455
56150000	0.0295
56250000	0.02894
56350000	0.02934
56450000	0.03297
56550000	0.02996
56650000	0.03223
56750000	0.03202
56850000	0.02988
56950000	0.03117
57050000	0.03028
57150000	0.03102
57250000	0.02957
57350000	0.03271
57450000	0.03441
57550000	0.03066
57650000	0.03335
57750000	0.03243
57850000	0.02908
57950000	0.03183
58050000	0.0315
58150000	0.02831
58250000	0.03031
58350000	0.03005
58450000	0.03284
58550000	0.03021
58650000	0.03446
58750000	0.03737
58850000	0.03628
58950000	0.03271
59050000	0.03503
59150000	0.03195
59250000	0.02868
59350000	0.03184
59450000	0.03148
59550000	0.02539
59650000	0.02663
59750000	0.02939
59850000	0.02775
59950000	0.03362
60050000	0.02755
60150000	0.02595
60250000	0.02682
60350000	0.0287
60450000	0.03008
60550000	0.02846693386773547
60650000	0.02668
60750000	0.03059
60850000	0.029519038076152304
60950000	0.02942
61050000	0.02801
61150000	0.03
61250000	0.02649
61350000	0.03033
61450000	0.03002
61550000	0.03549
61650000	0.02991
61750000	0.03032
61850000	0.034198396793587174
61950000	0.02819
62050000	0.03125
62150000	0.03603
62250000	0.03098
62350000	0.03542
62450000	0.03145
62550000	0.03571
62650000	0.03269
62750000	0.03431
62850000	0.0352
62950000	0.03184
63050000	0.03159
63150000	0.03283
63250000	0.03569
63350000	0.03622
63450000	0.03309
63550000	0.03303
63650000	0.034488977955911826
63750000	0.03668
63850000	0.03413
63950000	0.03403
64050000	0.03644
64150000	0.03592184368737475
64250000	0.03334
64350000	0.032
64450000	0.03263
64550000	0.03429
64650000	0.03508
64750000	0.03276
64850000	0.03345
64950000	0.03112
65050000	0.03284
65150000	0.03256
65250000	0.03611
65350000	0.03276
65450000	0.03261
65550000	0.03394
65650000	0.03225
65750000	0.03725
65850000	0.03368
65950000	0.03283
66050000	0.03594
66150000	0.0377
66250000	0.03502
66350000	0.03628256513026052
66450000	0.03087
66550000	0.03303
66650000	0.03159
66750000	0.03474
66850000	0.0343
66950000	0.03245
67050000	0.03295
67150000	0.03242
67250000	0.03248
67350000	0.03029
67450000	0.03086
67550000	0.02972
67650000	0.03669
67750000	0.03093
67850000	0.02916
67950000	0.03286
68050000	0.03064
68150000	0.02982
68250000	0.03419
68350000	0.03017
68450000	0.0284
68550000	0.0296
68650000	0.03037
68750000	0.03112
68850000	0.0299
68950000	0.03014
69050000	0.03759
69150000	0.03379
69250000	0.0378
69350000	0.03981
69450000	0.0293
69550000	0.02879
69650000	0.02636
69750000	0.03199
69850000	0.03184
69950000	0.03331
70050000	0.03345
70150000	0.03302
70250000	0.03755
70350000	0.03602
70450000	0.03391
70550000	0.03215
70650000	0.03177
70750000	0.02969
70850000	0.03146
70950000	0.0305
71050000	0.02399
71150000	0.03082
71250000	0.02985
71350000	0.03089
71450000	0.03449
71550000	0.03071
71650000	0.03046
71750000	0.03394
71850000	0.03344
71950000	0.0305
72050000	0.03218
72150000	0.02986
72250000	0.03172
72350000	0.03001
72450000	0.03049
72550000	0.0311
72650000	0.03445
72750000	0.0315
72850000	0.03456
72950000	0.03346
73050000	0.03396
73150000	0.03504
73250000	0.03048
73350000	0.02894
73450000	0.0333
73550000	0.0337
73650000	0.03349
73750000	0.03132
73850000	0.03079
73950000	0.02945
74050000	0.03364
74150000	0.02957
74250000	0.03086
74350000	0.03353
74450000	0.03388
74550000	0.03221
74650000	0.03548
74750000	0.03272
74850000	0.03489
74950000	0.0332
75050000	0.03454
75150000	0.03569
75250000	0.04108
75350000	0.03201
75450000	0.03704
75550000	0.03418
75650000	0.03464
75750000	0.0331
75850000	0.03163
75950000	0.03361
76050000	0.03622
76150000	0.03365
76250000	0.03518
76350000	0.03125
76450000	0.03311
76550000	0.03578
76650000	0.03461
76750000	0.03159
76850000	0.03293
76950000	0.03221
77050000	0.03503
77150000	0.03339
77250000	0.03759
77350000	0.03522
77450000	0.03427
77550000	0.0356
77650000	0.03277
77750000	0.03147
77850000	0.0322
77950000	0.03301
78050000	0.03502
78150000	0.03316
78250000	0.03037
78350000	0.03459
78450000	0.03132
78550000	0.03269
78650000	0.03234
78750000	0.03018
78850000	0.03481
78950000	0.02761
79050000	0.03176
79150000	0.02785
79250000	0.02924
79350000	0.03422
79450000	0.03476
79550000	0.02867
79650000	0.02983
79750000	0.03246
79850000	0.03315
79950000	0.03004
80050000	0.03425
80150000	0.03143
80250000	0.03005
80350000	0.02965
80450000	0.02807
80550000	0.03027
80650000	0.03063
80750000	0.03362
80850000	0.03112
80950000	0.02784
81050000	0.02944
81150000	0.0269
81250000	0.02494
81350000	0.03056
81450000	0.03017
81550000	0.03146
81650000	0.03283
81750000	0.03107
81850000	0.03045
81936122	0.026783860474773342
