scaffold_position	Simple_repeat	Unspecified	sum
50000	0.00255	0.63467	0.63722
150000	0.00854	0.28424	0.29278
250000	0.00804	0.30466	0.3127
350000	0.011372745490981963	0.12356713426853708	0.13493987975951904
450000	0.01422	0.21678	0.231
550000	0.00645	0.22363	0.23008
650000	0.00784	0.14895	0.15679
750000	0.00572	0.14612	0.15184
850000	0.00535	0.14802	0.15337
950000	0.00455	0.10268	0.10723
1050000	0.0087	0.12231	0.13101
1150000	0.01019	0.09337	0.10356
1250000	0.0068	0.14396	0.15076
1350000	0.01528	0.11298	0.12826
1450000	0.00715	0.13553	0.14268
1550000	0.00933	0.17833	0.18766
1650000	0.00737	0.12188	0.12925
1750000	0.00723	0.19807	0.2053
1850000	0.01347	0.14895	0.16242
1950000	0.02066	0.12061	0.14127
2050000	0.00674	0.20372	0.21046
2150000	0.03206412825651302	0.9209919839679359	0.9530561122244489
2250000	0.02302	0.67102	0.69404
2350000	0.00394	0.05526	0.0592
2450000	0.00789	0.1736	0.18149
2550000	0.00481	0.22324	0.22805
2650000	0.00779	0.27639	0.28418
2750000	0.00886	0.08045	0.08931
2850000	0.01021	0.04773	0.05794
2950000	0.00786	0.10147	0.10933
3050000	0.01011	0.14443	0.15454
3150000	0.00919	0.19055	0.19974
3250000	0.00433	0.14391	0.14824
3350000	0.00786	0.11529	0.12315
3450000	0.00325	0.14354	0.14679
3550000	0.00551	0.05972	0.06523
3650000	0.00814	0.10288	0.11102
3750000	0.007	0.13841	0.14541
3850000	0.00383	0.15069	0.15452
3950000	0.00518	0.12204	0.12722
4050000	0.00385	0.1931	0.19695
4150000	0.00602	0.1201	0.12612
4250000	0.00558	0.12643	0.13201
4350000	0.00794	0.1155	0.12344
4450000	0.00299	0.4246	0.42759
4550000	0.00273	0.21052	0.21325
4650000	0.00677	0.17544	0.18221
4750000	0.00808	0.13405	0.14213
4850000	0.01226	0.03009	0.04235
4950000	0.00589	0.06744	0.07333
5050000	0.00888	0.05525	0.06413
5150000	0.00712	0.05847	0.06559
5250000	0.00919	0.07814	0.08733
5350000	0.01144	0.08969	0.10113
5450000	0.00726	0.14366	0.15092
5550000	0.00607	0.10596	0.11203
5650000	0.01193	0.14471	0.15664
5750000	0.01168	0.08144	0.09312
5850000	0.01161	0.08082	0.09243
5950000	0.01219	0.15259	0.16478
6050000	0.00377	0.39846	0.40223
6150000	0.00451	0.23001	0.23452
6250000	0.00436	0.20276	0.20712
6350000	0.00581	0.20902	0.21483
6450000	0.00769	0.21763	0.22532
6550000	0.00702	0.03483	0.04185
6650000	0.00788	0.17352	0.1814
6750000	0.00935	0.08629	0.09564
6850000	0.00738	0.06551	0.07289
6950000	0.00673	0.16557	0.1723
7050000	0.00027	0.99183	0.9921
7150000	0.00695	0.44552	0.45247
7250000	0.00575	0.1791	0.18485
7350000	0.00314	0.09747	0.10061
7450000	0.01289	0.14146	0.15435
7550000	0.01106	0.07865	0.08971
7650000	0.00853	0.11973	0.12826
7750000	0.01245	0.09038	0.10283
7850000	0.01023	0.08975	0.09998
7950000	0.01038	0.17865	0.18903
8050000	0.0098	0.19563	0.20543
8150000	0.00895	0.17101	0.17996
8250000	0.01157	0.11814	0.12971
8350000	0.00588	0.10353	0.10941
8450000	0.00698	0.23814	0.24512
8550000	0.00524	0.13869	0.14393
8650000	0.00887	0.08752	0.09639
8750000	0.00759	0.09659	0.10418
8850000	0.0095	0.07922	0.08872
8950000	0.01015	0.24383	0.25398
9050000	0.00993	0.15037	0.1603
9150000	0.00922	0.1488	0.15802
9250000	0.0092	0.15423	0.16343
9350000	0.01941	0.11882	0.13823
9450000	0.01054	0.06452	0.07506
9550000	0.0068	0.21796	0.22476
9650000	0.00645	0.17266	0.17911
9750000	0.00765	0.18114	0.18879
9850000	0.00793	0.14404	0.15197
9950000	0.00491	0.1712	0.17611
10050000	0.00522	0.258	0.26322
10150000	0.00539	0.13983	0.14522
10250000	0.00609	0.16111	0.1672
10350000	0.00606	0.2447	0.25076
10450000	0.00661	0.09503	0.10164
10550000	0.00749	0.09556	0.10305
10650000	0.00905	0.16032	0.16937
10750000	0.00298	0.26085	0.26383
10850000	0.00619	0.17337	0.17956
10950000	0.00413	0.05437	0.0585
11050000	0.0102	0.11264	0.12284
11150000	0.00722	0.09877	0.10599
11250000	0.00372	0.33493	0.33865
11350000	0.0141	0.08986	0.10396
11450000	0.01454	0.0531	0.06764
11550000	0.00719	0.04893	0.05612
11650000	0.012	0.33616	0.34816
11750000	0.00826	0.22757	0.23583
11850000	0.01148	0.43537	0.44685
11950000	0.01315	0.05424	0.06739
12050000	0.01659	0.01658	0.03317
12150000	0.01545	0.10458	0.12003
12250000	0.01395	0.21611	0.23006
12350000	0.01724	0.04948	0.06672
12450000	0.00983	0.03879	0.04862
12550000	0.01932	0.05719	0.07651
12650000	0.01017	0.10104	0.11121
12750000	0.01358	0.10478	0.11836
12850000	0.02004	0.08355	0.10359
12950000	0.00774	0.3816	0.38934
13050000	0.01356	0.25005	0.26361
13150000	0.01672	0.06191	0.07863
13250000	0.01341	0.108	0.12141
13350000	0.01416	0.04868	0.06284
13450000	0.01512	0.12351	0.13863
13550000	0.01281	0.13629	0.1491
13650000	0.01786	0.05611	0.07397
13750000	0.01589	0.12723	0.14312
13850000	0.014	0.08457	0.09857
13950000	0.01079	0.14054	0.15133
14050000	0.01303	0.06725	0.08028
14150000	0.01349	0.03137	0.04486
14250000	0.00745	0.09579	0.10324
14350000	0.00896	0.2486	0.25756
14450000	0.00907	0.08432	0.09339
14550000	0.00554	0.31037	0.31591
14650000	0.01419	0.05888	0.07307
14750000	0.0088	0.08734	0.09614
14850000	0.00503	0.14222	0.14725
14950000	0.01089	0.04988	0.06077
15050000	0.00674	0.10561	0.11235
15150000	0.00621	0.10075	0.10696
15250000	0.00225	0.16997	0.17222
15350000	0.00581	0.07327	0.07908
15450000	0.00452	0.09865	0.10317
15550000	0.00473	0.22072	0.22545
15650000	0.00326	0.08905	0.09231
15750000	0.0033	0.08792	0.09122
15850000	0.0045	0.11233	0.11683
15950000	0.00871	0.0683	0.07701
16050000	0.00639	0.15376	0.16015
16150000	0.00653	0.10253	0.10906
16250000	0.00532	0.08754	0.09286
16350000	0.00581	0.15451	0.16032
16450000	0.00461	0.1311	0.13571
16550000	0.00987	0.1642	0.17407
16650000	0.00951	0.21365	0.22316
16750000	0.00723	0.12339	0.13062
16850000	0.01216	0.1593	0.17146
16950000	0.00895	0.13732	0.14627
17050000	0.01127	0.16921	0.18048
17150000	0.01225	0.101	0.11325
17250000	0.00803	0.12919	0.13722
17350000	0.00931	0.21222	0.22153
17450000	0.01144	0.20027	0.21171
17550000	0.00982	0.18362	0.19344
17650000	0.01405	0.0829	0.09695
17750000	0.00633	0.09424	0.10057
17850000	0.00932	0.09515	0.10447
17950000	0.00853	0.114	0.12253
18050000	0.00988	0.34808	0.35796
18150000	0.01993	0.07924	0.09917
18250000	0.00985	0.159	0.16885
18350000	0.00708	0.14157	0.14865
18450000	0.01036	0.26698	0.27734
18550000	0.00915	0.24987	0.25902
18650000	0.01127	0.14332	0.15459
18750000	0.01366	0.15719	0.17085
18850000	0.0174	0.10035	0.11775
18950000	0.01177	0.16529	0.17706
19050000	0.01076	0.16879	0.17955
19150000	0.00242	0.1189	0.12132
19250000	0.00736	0.12652	0.13388
19350000	0.00448	0.24326	0.24774
19450000	0.00582	0.12814	0.13396
19550000	0.0092	0.08736	0.09656
19650000	0.00961	0.2655	0.27511
19750000	0.009428857715430861	0.27993987975951906	0.2893687374749499
19850000	0.01109	0.10775	0.11884
19950000	0.01404	0.05532	0.06936
20050000	0.00725	0.14159	0.14884
20150000	0.01035	0.08999	0.10034
20250000	0.02564	0.07416	0.0998
20350000	0.01384	0.12262	0.13646
20450000	0.01061	0.1077	0.11831
20550000	0.00957	0.16976	0.17933
20650000	0.00974	0.21454	0.22428
20750000	0.01132	0.12239	0.13371
20850000	0.01506	0.10913	0.12419
20950000	0.00708	0.21596	0.22304
21050000	0.00722	0.12546	0.13268
21150000	0.01148	0.13	0.14148
21250000	0.00738	0.15111	0.15849
21350000	0.00764	0.33124	0.33888
21450000	0.01439	0.16555	0.17994
21550000	0.01017	0.15606	0.16623
21650000	0.022	0.04976	0.07176
21750000	0.00434	0.25631	0.26065
21850000	0.01421	0.09265	0.10686
21950000	0.01332	0.16262	0.17594
22050000	0.01379	0.13292	0.14671
22150000	0.01002	0.20425	0.21427
22250000	0.00944	0.23059	0.24003
22350000	0.00715	0.37798	0.38513
22450000	0.01346	0.05828	0.07174
22550000	0.01104	0.15596	0.167
22650000	0.01087	0.25584	0.26671
22750000	0.0097	0.13462	0.14432
22850000	0.00662	0.15386	0.16048
22950000	0.00666	0.13645	0.14311
23050000	0.00532	0.09716	0.10248
23150000	0.00384	0.14123	0.14507
23250000	0.0068	0.09998	0.10678
23350000	0.00691	0.09112	0.09803
23450000	0.00332	0.03469	0.03801
23550000	0.005150300601202405	0.22861723446893786	0.23376753507014028
23650000	0.01236	0.06363	0.07599
23750000	0.00822	0.18261	0.19083
23850000	0.00372	0.107	0.11072
23950000	0.00973	0.07492	0.08465
24050000	0.00705	0.02631	0.03336
24150000	0.00308	0.22307	0.22615
24250000	0.00679	0.07884	0.08563
24350000	0.00368	0.02666	0.03034
24450000	0.00416	0.0758	0.07996
24550000	0.00351	0.10264	0.10615
24650000	0.0092	0.02687	0.03607
24750000	0.00659	0.04523	0.05182
24850000	0.0053	0.12748	0.13278
24950000	0.00385	0.0582	0.06205
25050000	0.00489	0.10784	0.11273
25150000	0.00675	0.00735	0.0141
25250000	0.00681	0.01536	0.02217
25350000	0.0087	0.04505	0.05375
25450000	0.0122	0.04305	0.05525
25550000	0.00985	0.07145	0.0813
25650000	0.01004	0.08351	0.09355
25750000	0.01039	0.06607	0.07646
25850000	0.00869	0.03351	0.0422
25950000	0.01247	0.04087	0.05334
26050000	0.00739	0.06167	0.06906
26150000	0.0097	0.0611	0.0708
26250000	0.00946	0.02598	0.03544
26350000	0.01304	0.05081	0.06385
26450000	0.00946	0.00836	0.01782
26550000	0.01151	0.02996	0.04147
26650000	0.00558	0.20656	0.21214
26750000	0.00947	0.08311	0.09258
26850000	0.0076	0.14841	0.15601
26950000	0.01461	0.28364	0.29825
27050000	0.01921	0.25978	0.27899
27150000	0.01677	0.10957	0.12634
27250000	0.01425	0.11258	0.12683
27350000	0.00944	0.17639	0.18583
27450000	0.00619	0.08292	0.08911
27550000	0.01031	0.04604	0.05635
27650000	0.00815	0.06019	0.06834
27750000	0.00781	0.04024	0.04805
27850000	0.00946	0.03804	0.0475
27950000	0.01009	0.08704	0.09713
28050000	0.00621	0.13214	0.13835
28150000	0.00725	0.04882	0.05607
28250000	0.00608	0.17147	0.17755
28350000	0.0064	0.04996	0.05636
28450000	0.008594377510040161	0.10178714859437751	0.11038152610441768
28550000	0.01007	0.0696	0.07967
28650000	0.00393	0.13484	0.13877
28750000	0.01023	0.01616	0.02639
28850000	0.01173	0.05847	0.0702
28950000	0.00592	0.13457	0.14049
29050000	0.01191	0.09904	0.11095
29150000	0.00682	0.10226	0.10908
29250000	0.01037	0.00717	0.01754
29350000	0.00569	0.0303	0.03599
29450000	0.00406	0.08792	0.09198
29550000	0.00452	0.08299	0.08751
29650000	0.00641	0.06504	0.07145
29750000	0.00954	0.01844	0.02798
29850000	0.00327	0.1223	0.12557
29950000	0.00818	0.08931	0.09749
30050000	0.00588	0.10635	0.11223
30150000	0.00542	0.02685	0.03227
30250000	0.00393	0.09048	0.09441
30350000	0.01017	0.02587	0.03604
30450000	0.00505	0.08962	0.09467
30550000	0.00398	0.09606	0.10004
30650000	0.00402	0.01932	0.02334
30750000	0.00808	0.11754	0.12562
30850000	0.01123	0.09936	0.11059
30950000	0.00689	0.2246	0.23149
31050000	0.00856	0.05818	0.06674
31150000	0.01134	0.1749	0.18624
31250000	0.00594	0.06321	0.06915
31350000	0.01432	0.16643	0.18075
31450000	0.01622	0.13985	0.15607
31550000	0.01367	0.17332	0.18699
31650000	0.01157	0.27369	0.28526
31750000	0.00776	0.16527	0.17303
31850000	0.00685	0.23075	0.2376
31950000	0.00767	0.07891	0.08658
32050000	0.00696	0.03734	0.0443
32150000	0.0045	0.09297	0.09747
32250000	0.00632	0.08348	0.0898
32350000	0.00502	0.18959	0.19461
32450000	0.0072	0.01744	0.02464
32550000	0.00733	0.29344	0.30077
32650000	0.00799	0.1115	0.11949
32750000	0.00607	0.15261	0.15868
32850000	0.00983	0.21687	0.2267
32950000	0.00684	0.21279	0.21963
33050000	0.00668	0.1251	0.13178
33150000	0.00868	0.03652	0.0452
33250000	0.0083	0.11856	0.12686
33350000	0.00566	0.13569	0.14135
33450000	0.00498997995991984	0.16392785571142285	0.1689178356713427
33550000	0.00753	0.1947	0.20223
33650000	0.01019	0.16541	0.1756
33750000	0.00646	0.05437	0.06083
33850000	0.00595	0.15852	0.16447
33950000	0.00712	0.02759	0.03471
34050000	0.01068	0.11579	0.12647
34150000	0.00561	0.03223	0.03784
34250000	0.00789	0.12978	0.13767
34350000	0.00685	0.05665	0.0635
34450000	0.00695	0.13286	0.13981
34550000	0.01105	0.07458	0.08563
34650000	0.01627	0.20984	0.22611
34750000	0.01484	0.14286	0.1577
34850000	0.00694	0.12313	0.13007
34950000	0.00544	0.09161	0.09705
35050000	0.0083	0.17651	0.18481
35150000	0.01014	0.10431	0.11445
35250000	0.00863	0.04661	0.05524
35350000	0.00757	0.07832	0.08589
35450000	0.00788	0.15602	0.1639
35550000	0.0114	0.06227	0.07367
35650000	0.00708	0.22576	0.23284
35750000	0.00633	0.03473	0.04106
35850000	0.00558	0.18703	0.19261
35950000	0.00922	0.11926	0.12848
36050000	0.00563	0.22125	0.22688
36150000	0.01256	0.13667	0.14923
36250000	0.0069	0.28193	0.28883
36350000	0.00933	0.20405	0.21338
36450000	0.00613	0.07138	0.07751
36550000	0.00719	0.23402	0.24121
36650000	0.01267	0.1011	0.11377
36750000	0.00741	0.18814	0.19555
36850000	0.008507014028056111	0.10955911823647295	0.11806613226452906
36950000	0.01204	0.27719	0.28923
37050000	0.00562	0.12726	0.13288
37150000	0.00814	0.26834	0.27648
37250000	0.00292	0.2585	0.26142
37350000	0.00569	0.06539	0.07108
37450000	0.00706	0.11611	0.12317
37550000	0.00657	0.10921	0.11578
37650000	0.007	0.05815	0.06515
37750000	0.00676	0.09241	0.09917
37850000	0.00756	0.10621	0.11377
37950000	0.00648	0.13069	0.13717
38050000	0.00798	0.06014	0.06812
38150000	0.0058	0.12374	0.12954
38250000	0.00731	0.09333	0.10064
38350000	0.00698	0.23381	0.24079
38450000	0.00299	0.38748	0.39047
38550000	0.01363	0.08217	0.0958
38650000	0.01253	0.03158	0.04411
38750000	0.00751	0.17271	0.18022
38850000	0.00949	0.08151	0.091
38950000	0.00947	0.22963	0.2391
39050000	0.00998	0.08881	0.09879
39150000	0.01145	0.05346	0.06491
39250000	0.00771	0.07142	0.07913
39350000	0.00735	0.17805	0.1854
39450000	0.01058	0.03758	0.04816
39550000	0.01014	0.10678	0.11692
39650000	0.00902	0.05625	0.06527
39750000	0.00899	0.16561	0.1746
39850000	0.00706	0.0523	0.05936
39950000	0.00837	0.24773	0.2561
40050000	0.01826	0.10714	0.1254
40150000	0.00942	0.07708	0.0865
40250000	0.00606	0.09065	0.09671
40350000	0.00668	0.17059	0.17727
40450000	0.01458	0.03755	0.05213
40550000	0.01065	0.20232	0.21297
40650000	0.00886	0.0842	0.09306
40750000	0.01416	0.10281	0.11697
40850000	0.01052	0.06729	0.07781
40950000	0.01069	0.05516	0.06585
41050000	0.00461	0.11192	0.11653
41150000	0.00781	0.04633	0.05414
41250000	0.0067	0.25849	0.26519
41350000	0.00718	0.05461	0.06179
41450000	0.00592	0.09184	0.09776
41550000	0.00864	0.04363	0.05227
41650000	0.00759	0.22688	0.23447
41750000	0.01045	0.06692	0.07737
41850000	0.00467	0.09144	0.09611
41950000	0.00934	0.04554	0.05488
42050000	0.00836	0.08537	0.09373
42150000	0.00524	0.26932	0.27456
42250000	0.01323	0.15159	0.16482
42350000	0.01314	0.08633	0.09947
42450000	0.00945	0.20719	0.21664
42550000	0.01506	0.19671	0.21177
42650000	0.00911	0.09939	0.1085
42750000	0.01622	0.09549	0.11171
42850000	0.01207	0.0802	0.09227
42950000	0.012014028056112224	0.12134268537074148	0.1333567134268537
43050000	0.00854	0.06681	0.07535
43150000	0.01347	0.06321	0.07668
43250000	0.00967	0.07078	0.08045
43350000	0.01026	0.11491	0.12517
43450000	0.00862	0.06022	0.06884
43550000	0.0083	0.25792	0.26622
43650000	0.00657	0.09672	0.10329
43750000	0.00706	0.05153	0.05859
43850000	0.01133	0.03734	0.04867
43950000	0.00779	0.06592	0.07371
44050000	0.00847	0.07053	0.079
44150000	0.00976	0.09321	0.10297
44250000	0.00905	0.11623	0.12528
44350000	0.00925	0.1494	0.15865
44450000	0.00483	0.10929	0.11412
44550000	0.00469	0.14915	0.15384
44650000	0.00726	0.10661	0.11387
44750000	0.00804	0.15314	0.16118
44850000	0.00593	0.0488	0.05473
44950000	0.00298	0.25809	0.26107
45050000	0.00483	0.24851	0.25334
45150000	0.00547	0.03173	0.0372
45250000	0.00521	0.20888	0.21409
45350000	0.01075	0.02559	0.03634
45450000	0.00527	0.12485	0.13012
45550000	0.00458	0.14038	0.14496
45650000	0.00686	0.06757	0.07443
45750000	0.00883	0.12932	0.13815
45850000	0.00806	0.06001	0.06807
45950000	0.0056112224448897794	0.32082164328657314	0.3264328657314629
46050000	0.00825	0.03994	0.04819
46150000	0.00866	0.06541	0.07407
46250000	0.00726	0.0541	0.06136
46350000	0.00956	0.05294	0.0625
46450000	0.00508	0.1804	0.18548
46550000	0.01097	0.03102	0.04199
46650000	0.00485	0.09965	0.1045
46750000	0.01139	0.05644	0.06783
46850000	0.01066	0.04666	0.05732
46950000	0.00711	0.04947	0.05658
47050000	0.0096	0.1301	0.1397
47150000	0.00739	0.30315	0.31054
47250000	0.01026	0.23664	0.2469
47350000	0.00789	0.06304	0.07093
47450000	0.00857	0.1158	0.12437
47550000	0.00848	0.04064	0.04912
47650000	0.00631	0.054	0.06031
47750000	0.00215	0.10171	0.10386
47850000	0.00926	0.0546	0.06386
47950000	0.01153	0.05571	0.06724
48050000	0.0193	0.05225	0.07155
48150000	0.00984	0.12168	0.13152
48250000	0.00952	0.19349	0.20301
48350000	0.01164	0.05875	0.07039
48450000	0.01073	0.04989	0.06062
48550000	0.01002	0.12503	0.13505
48650000	0.0128	0.07672	0.08952
48750000	0.00757	0.29222	0.29979
48850000	0.01351	0.04492	0.05843
48950000	0.01563	0.04925	0.06488
49050000	0.01323	0.0388	0.05203
49150000	0.00756	0.06022	0.06778
49250000	0.01265	0.07335	0.086
49350000	0.00507	0.05994	0.06501
49450000	0.0097	0.07928	0.08898
49550000	0.0064	0.04006	0.04646
49650000	0.01455	0.1134	0.12795
49750000	0.0076	0.23982	0.24742
49850000	0.00661	0.14175	0.14836
49950000	0.00824	0.07346	0.0817
50050000	0.00345	0.11072	0.11417
50150000	0.00651	0.03291	0.03942
50250000	0.0048	0.08299	0.08779
50350000	0.00892	0.11712	0.12604
50450000	0.00523	0.08382	0.08905
50550000	0.00639	0.12455	0.13094
50650000	0.00896	0.08771	0.09667
50750000	0.00505	0.16411	0.16916
50850000	0.00561	0.06772	0.07333
50950000	0.00648	0.0676	0.07408
51050000	0.00611	0.17504	0.18115
51150000	0.00725	0.1303	0.13755
51250000	0.00441	0.04553	0.04994
51350000	0.0107	0.04166	0.05236
51450000	0.01113	0.07394	0.08507
