scaffold	coordinate	PC1
ChrIV	50000	0.0003529703648158
ChrIV	150000	0.0042490872832295
ChrIV	250000	0.0058771605076082
ChrIV	350000	0.006255946213675
ChrIV	450000	0.0015871315615856
ChrIV	550000	0.0001847312682408
ChrIV	650000	0.0278706766901422
ChrIV	750000	0.0332094280888933
ChrIV	850000	0.0320139107513429
ChrIV	950000	0.0260816746705895
ChrIV	1050000	0.015450398705793799
ChrIV	1150000	0.0201379917679216
ChrIV	1250000	0.0100461673456942
ChrIV	1350000	0.0087478924182328
ChrIV	1450000	0.012116227418362
ChrIV	1550000	0.0162258968401177
ChrIV	1650000	0.0105654335755441
ChrIV	1750000	0.0101108622781708
ChrIV	1850000	0.0087556232639752
ChrIV	1950000	0.0099762796574925
ChrIV	2050000	0.009700060906837699
ChrIV	2150000	0.0054285769384832
ChrIV	2250000	-0.00017167830127840013
ChrIV	2350000	0.0092622719784199
ChrIV	2450000	0.0119701916918741
ChrIV	2550000	0.012733255365468899
ChrIV	2650000	0.0062598007027818
ChrIV	2750000	0.0014228551080204
ChrIV	2850000	0.0018819477637532
ChrIV	2950000	0.0039246211804247
ChrIV	3050000	0.0012025579371728
ChrIV	3150000	0.0041973548965231
ChrIV	3250000	0.0019132895175637
ChrIV	3350000	0.0045902586741413
ChrIV	3450000	0.004889343215173299
ChrIV	3550000	0.011219816279172599
ChrIV	3650000	0.0102043747678363
ChrIV	3750000	0.009806043457984
ChrIV	3850000	0.0084234302603013
ChrIV	3950000	0.0101882403966078
ChrIV	4050000	0.0079131304384715
ChrIV	4150000	0.0090272336711664
ChrIV	4250000	0.0057692567208536
ChrIV	4350000	0.0075147267039823
ChrIV	4450000	0.0052506987951845
ChrIV	4550000	0.0088542689671166
ChrIV	4650000	0.0075497232190517
ChrIV	4750000	0.0070970993698792
ChrIV	4850000	0.0075962242517552
ChrIV	4950000	0.0044690808799911
ChrIV	5050000	0.0086374245255798
ChrIV	5150000	0.0062296674984586
ChrIV	5250000	0.006834541171119901
ChrIV	5350000	0.0082715302241739
ChrIV	5450000	0.0113074291498948
ChrIV	5550000	0.0097224618040147
ChrIV	5650000	0.0106063941498488
ChrIV	5750000	0.0110590856132006
ChrIV	5850000	0.0051663392187878
ChrIV	5950000	0.0085774797518416
ChrIV	6050000	0.0086185342260312
ChrIV	6150000	0.015114235794583101
ChrIV	6250000	0.0143342197098976
ChrIV	6350000	0.0118326330501335
ChrIV	6450000	0.0038571170635624
ChrIV	6550000	0.0079947360755707
ChrIV	6650000	0.0057725491721877
ChrIV	6750000	0.0028348588492592003
ChrIV	6850000	0.000931334607887
ChrIV	6950000	-0.0002326071379534
ChrIV	7050000	0.0026582274884400002
ChrIV	7150000	0.0062228165847603
ChrIV	7250000	0.0022757679822905
ChrIV	7350000	0.015611456618474701
ChrIV	7450000	0.015099082580778
ChrIV	7550000	0.0087757293432981
ChrIV	7650000	0.0024675109402123
ChrIV	7750000	0.0012555559401775998
ChrIV	7850000	0.0008417561459028999
ChrIV	7950000	0.0025868774130358
ChrIV	8050000	0.0022192081394386
ChrIV	8150000	0.0108620580179534
ChrIV	8250000	0.014819838424108401
ChrIV	8350000	0.0067941343946661
ChrIV	8450000	0.0111012913862822
ChrIV	8550000	0.01080394210301
ChrIV	8650000	0.0067440021662813
ChrIV	8750000	0.0018479463562846002
ChrIV	8850000	0.0022206754828572
ChrIV	8950000	0.001089431136109
ChrIV	9050000	0.0059684461825220995
ChrIV	9150000	0.008197080929739201
ChrIV	9250000	0.009019841803759799
ChrIV	9350000	0.011970408463234
ChrIV	9450000	0.0044746425691799
ChrIV	9550000	0.0118961920033114
ChrIV	9650000	0.0087746682167756
ChrIV	9750000	0.0061601456052959
ChrIV	9850000	0.0033545006739796
ChrIV	9950000	0.0059366003825679
ChrIV	10050000	0.0060543631708574
ChrIV	10150000	0.0102203346117035
ChrIV	10250000	0.009815770543132
ChrIV	10350000	0.0076626034153714
ChrIV	10450000	0.0084555560437816
ChrIV	10550000	0.0104019303372957
ChrIV	10650000	0.0216541785261724
ChrIV	10750000	0.0112394623181148
ChrIV	10850000	0.008834834458825401
ChrIV	10950000	0.0062186219706263
ChrIV	11050000	0.0082252427799951
ChrIV	11150000	0.0083504475628738
ChrIV	11250000	0.0052360369571838
ChrIV	11350000	0.0109145982287743
ChrIV	11450000	0.0109241666020258
ChrIV	11550000	0.007372471603536599
ChrIV	11650000	0.012598747072928901
ChrIV	11750000	0.009419736216355
ChrIV	11850000	0.005050159393612
ChrIV	11950000	0.0078003822007333
ChrIV	12050000	0.0107578364140883
ChrIV	12150000	0.01060698565663
ChrIV	12250000	0.007963394689271699
ChrIV	12350000	0.0064795446353348
ChrIV	12450000	0.0128271784698143
ChrIV	12550000	0.0081309491184673
ChrIV	12650000	0.0062995109664855
ChrIV	12750000	0.0071852415333821
ChrIV	12850000	0.0089382464413662
ChrIV	12950000	0.0174356607427077
ChrIV	13050000	0.0149874595680201
ChrIV	13150000	0.0143385402745422
ChrIV	13250000	0.0110967258643789
ChrIV	13350000	0.0109472670762234
ChrIV	13450000	0.016163304265184298
ChrIV	13550000	0.007885422523364799
ChrIV	13650000	0.019814911599626502
ChrIV	13750000	0.0224388049797941
ChrIV	13850000	0.0216386647751563
ChrIV	13950000	0.020652082230361298
ChrIV	14050000	0.0187731720186309
ChrIV	14150000	0.0107363638120902
ChrIV	14250000	0.0133216233364833
ChrIV	14350000	0.0154270857745178
ChrIV	14450000	0.0129476082347722
ChrIV	14550000	0.0116244109145467
ChrIV	14650000	0.0126464411098271
ChrIV	14750000	0.0084519683244385
ChrIV	14850000	0.007553203263636199
ChrIV	14950000	0.008735119460246599
ChrIV	15050000	0.0136400556012838
ChrIV	15150000	0.0122142809835923
ChrIV	15250000	0.0084063930827711
ChrIV	15350000	0.009005745395866701
ChrIV	15450000	0.0104153224096589
ChrIV	15550000	0.014264786803348799
ChrIV	15650000	0.0109380049114302
ChrIV	15750000	0.008539136295356799
ChrIV	15850000	0.0126422038002001
ChrIV	15950000	0.0112573981553092
ChrIV	16050000	0.0051481446718455995
ChrIV	16150000	0.0077471430721054
ChrIV	16250000	0.0052238828813206
ChrIV	16350000	0.0020485085634097
ChrIV	16450000	0.009578518809489001
ChrIV	16550000	0.020781786373696903
ChrIV	16650000	0.0151410784751851
ChrIV	16750000	0.0120645136210865
ChrIV	16850000	0.015376906396788301
